break_date,confidence,p_value,shift_zscore,mean_shift
2024-05-16,1.0,4.817999225599667e-35,17.395098363336544,0.3511683399239365
2024-07-05,0.8841210296731552,2.8367720554097014e-06,-4.909947077695839,-0.1437090884262755
2024-08-05,1.0,5.75067463208315e-50,-30.608910732290045,-0.3398570520236448
2024-09-03,1.0,5.223194824181934e-17,-11.262530044170319,-0.25035512826110473
2024-10-02,0.9636857783373789,2.4272412733089264e-10,-7.031620760194286,-0.16121529073270846
2024-11-04,0.9999999999998006,2.8477987079396753e-13,-8.661566674400602,-0.09999356808856907
2024-12-03,1.0,9.182021559638917e-29,-16.190799996712663,-0.13965210818263163
2025-01-01,0.9637069398141886,1.2329255393096473e-10,-7.03218506401316,-0.1160872324283233
2025-01-30,0.9999999999999993,9.243616625769526e-16,-9.22872479417485,-0.13851747115836632
2025-02-28,1.0,1.6503949527327383e-30,-15.456407826430178,-0.157730169555381
2025-03-31,1.0,4.655335760790708e-22,-11.828578405178034,-0.19240288040667464
2025-05-12,1.0,9.019982515143845e-30,-15.150961575308939,-0.1542497501970994
2025-06-10,0.8583499004461017,4.6173923399080845e-05,-4.2235259251328285,-0.05477178110728298
2025-08-04,1.0,7.03244258843645e-19,10.542922918074845,0.10497749012771096
2025-09-22,1.0,4.651443773236865e-17,9.924841409080573,0.11980875612979403
2025-10-22,1.0,7.102143550755962e-30,15.709524682635934,0.14733918339880026
