window_start,window_end,p_value,beta,resid_std,n_obs
2024-02-19,2025-02-04,0.23402625144996236,-1.1357889334002331,0.0955499374328998,252
2024-03-19,2025-03-05,0.3637540702209447,-1.2068960275102318,0.09554319910046129,252
2024-04-17,2025-04-03,0.2644266386444504,-1.3285021300200575,0.10068481038155581,252
2024-05-16,2025-05-02,0.16892249487486966,-1.4722255597504756,0.10428830512743674,252
2024-06-14,2025-06-02,0.5514469227896626,-1.002056543787955,0.11534213912770547,252
2024-07-15,2025-07-01,0.13025319857593637,-0.3377756493352262,0.09938959834750849,252
2024-08-13,2025-07-30,0.3526605061125689,-0.08130034527015843,0.08618690391417295,252
2024-09-11,2025-08-28,0.4489404488190485,0.0004582362524572433,0.08590695396811635,252
2024-10-10,2025-09-26,0.3498362021223822,0.04201805077577184,0.08535589250069442,252
2024-11-08,2025-10-27,0.20318374400594313,0.1644456354722282,0.07558785738877966,252
2024-12-09,2025-11-25,0.23802691453666736,0.32932206139924614,0.06881481257948102,252
2025-01-07,2025-12-24,0.6236855477492154,0.4357670606777693,0.08772408351055129,252
2025-02-05,2026-01-22,0.636090365996451,0.6348315472805213,0.09956646726934383,252
2025-02-28,2026-02-16,0.5721719181198629,0.8669122053234453,0.11232463027359252,252
