window_start,window_end,p_value,beta,resid_std,n_obs
2024-02-19,2025-02-04,0.4488775912351386,-0.45021440369120136,0.07576633249107008,252
2024-03-19,2025-03-05,0.20113311832855268,-0.6211711225431655,0.07346434511196107,252
2024-04-17,2025-04-03,0.25743641199398104,-0.5267147061184371,0.0753917473284411,252
2024-05-16,2025-05-02,0.22359628584739122,0.07879215633469801,0.07262189008902373,252
2024-06-14,2025-06-02,0.8068246008849707,0.4279413335538544,0.07462237507233878,252
2024-07-15,2025-07-01,0.5720370453921075,0.6223184536896489,0.08462836043640469,252
2024-08-13,2025-07-30,0.44916877784444287,0.7058937519086693,0.0959553134711964,252
2024-09-11,2025-08-28,0.44687234544158055,0.7500083779958705,0.09804814852627083,252
2024-10-10,2025-09-26,0.13691448587503358,0.7502118043293474,0.09213324111398283,252
2024-11-08,2025-10-27,0.3321279155489515,0.6904089100811552,0.08496103417239628,252
2024-12-09,2025-11-25,0.5934161195619279,0.28272863968083656,0.08286394592002881,252
2025-01-07,2025-12-24,0.6537051459024652,-0.029652259158371795,0.08764597608559535,252
2025-02-05,2026-01-22,0.6054026673880085,-0.2069690353118523,0.09318700775047294,252
2025-02-28,2026-02-16,0.3519696264326257,-0.3865873784136623,0.09303771571332571,252
